subscription_id,user_id,plan,price,billing_date,status,churn_date,churn_reason
8_202307,8,Family,24.99,2023-07-08,active,,
9_202304,9,Family,24.99,2023-04-30,active,,
9_202305,9,Family,24.99,2023-05-30,active,,
9_202306,9,Family,24.99,2023-06-29,active,,
9_202307,9,Family,24.99,2023-07-29,active,,
9_202308,9,Family,24.99,2023-08-28,active,,
9_202309,9,Family,24.99,2023-09-27,active,,
9_202310,9,Family,24.99,2023-10-27,active,,
9_202311,9,Family,24.99,2023-11-26,active,,
9_202312,9,Family,24.99,2023-12-26,active,,
9_202401,9,Family,24.99,2024-01-25,active,,
10_202307,10,Premium,19.99,2023-07-01,active,,
10_202307,10,Premium,19.99,2023-07-31,active,,
10_202308,10,Premium,19.99,2023-08-30,active,,
10_202309,10,Premium,19.99,2023-09-29,active,,
10_202310,10,Premium,19.99,2023-10-29,active,,
10_202311,10,Premium,19.99,2023-11-28,active,,
10_202312,10,Premium,19.99,2023-12-28,active,,
10_202401,10,Premium,19.99,2024-01-27,active,,
10_202402,10,Premium,19.99,2024-02-26,active,,
11_202305,11,Family,24.99,2023-05-06,active,,
11_202306,11,Family,24.99,2023-06-05,active,,
11_202307,11,Family,24.99,2023-07-05,active,,
11_202308,11,Family,24.99,2023-08-04,active,,
11_202309,11,Family,24.99,2023-09-03,active,,
11_202310,11,Family,24.99,2023-10-03,active,,
11_202311,11,Family,24.99,2023-11-02,active,,
11_202312,11,Family,24.99,2023-12-02,active,,
11_202401,11,Family,24.99,2024-01-01,active,,
11_202401,11,Family,24.99,2024-01-31,active,,
12_202304,12,Standard,14.99,2023-04-28,active,,
12_202305,12,Standard,14.99,2023-05-28,active,,
12_202306,12,Standard,14.99,2023-06-27,active,,
12_202307,12,Standard,14.99,2023-07-27,active,,
12_202308,12,Standard,14.99,2023-08-26,active,,
12_202309,12,Standard,14.99,2023-09-25,active,,
12_202310,12,Standard,14.99,2023-10-25,active,,
12_202311,12,Standard,14.99,2023-11-24,active,,
12_202312,12,Standard,14.99,2023-12-24,active,,
12_202401,12,Standard,14.99,2024-01-23,churned,2024-02-01,Technical Issues
13_202306,13,Family,24.99,2023-06-11,active,,
13_202307,13,Family,24.99,2023-07-11,active,,
13_202308,13,Family,24.99,2023-08-10,active,,
13_202309,13,Family,24.99,2023-09-09,active,,
13_202310,13,Family,24.99,2023-10-09,active,,
13_202311,13,Family,24.99,2023-11-08,active,,
14_202303,14,Standard,14.99,2023-03-13,active,,
14_202304,14,Standard,14.99,2023-04-12,active,,
14_202305,14,Standard,14.99,2023-05-12,churned,2023-05-14,Price
15_202307,15,Family,24.99,2023-07-24,active,,
15_202308,15,Family,24.99,2023-08-23,active,,
15_202309,15,Family,24.99,2023-09-22,active,,
16_202302,16,Family,24.99,2023-02-26,active,,
16_202303,16,Family,24.99,2023-03-28,active,,
16_202304,16,Family,24.99,2023-04-27,active,,
16_202305,16,Family,24.99,2023-05-27,active,,
16_202306,16,Family,24.99,2023-06-26,active,,
16_202307,16,Family,24.99,2023-07-26,active,,
16_202308,16,Family,24.99,2023-08-25,active,,
16_202309,16,Family,24.99,2023-09-24,active,,
16_202310,16,Family,24.99,2023-10-24,active,,
16_202311,16,Family,24.99,2023-11-23,active,,
16_202312,16,Family,24.99,2023-12-23,active,,
16_202401,16,Family,24.99,2024-01-22,active,,
17_202307,17,Standard,14.99,2023-07-15,active,,
17_202308,17,Standard,14.99,2023-08-14,active,,
17_202309,17,Standard,14.99,2023-09-13,active,,
17_202310,17,Standard,14.99,2023-10-13,active,,
17_202311,17,Standard,14.99,2023-11-12,active,,
17_202312,17,Standard,14.99,2023-12-12,active,,
17_202401,17,Standard,14.99,2024-01-11,active,,
18_202310,18,Basic,9.99,2023-10-02,active,,
18_202311,18,Basic,9.99,2023-11-01,active,,
18_202312,18,Basic,9.99,2023-12-01,active,,
18_202312,18,Basic,9.99,2023-12-31,active,,
19_202308,19,Family,24.99,2023-08-21,active,,
19_202309,19,Family,24.99,2023-09-20,active,,
19_202310,19,Family,24.99,2023-10-20,active,,
19_202311,19,Family,24.99,2023-11-19,active,,
19_202312,19,Family,24.99,2023-12-19,active,,
19_202401,19,Family,24.99,2024-01-18,active,,
19_202402,19,Family,24.99,2024-02-17,active,,
19_202403,19,Family,24.99,2024-03-18,active,,
19_202404,19,Family,24.99,2024-04-17,active,,
19_202405,19,Family,24.99,2024-05-17,active,,
20_202306,20,Family,24.99,2023-06-02,active,,
20_202307,20,Family,24.99,2023-07-02,active,,
20_202308,20,Family,24.99,2023-08-01,active,,
20_202308,20,Family,24.99,2023-08-31,active,,
20_202309,20,Family,24.99,2023-09-30,active,,
20_202310,20,Family,24.99,2023-10-30,active,,
20_202311,20,Family,24.99,2023-11-29,active,,
20_202312,20,Family,24.99,2023-12-29,active,,
20_202401,20,Family,24.99,2024-01-28,active,,
20_202402,20,Family,24.99,2024-02-27,active,,
21_202310,21,Premium,19.99,2023-10-04,active,,
21_202311,21,Premium,19.99,2023-11-03,active,,
21_202312,21,Premium,19.99,2023-12-03,active,,
21_202401,21,Premium,19.99,2024-01-02,active,,
21_202402,21,Premium,19.99,2024-02-01,active,,
21_202403,21,Premium,19.99,2024-03-02,active,,
21_202404,21,Premium,19.99,2024-04-01,active,,
21_202405,21,Premium,19.99,2024-05-01,active,,
21_202405,21,Premium,19.99,2024-05-31,active,,
21_202406,21,Premium,19.99,2024-06-30,active,,
21_202407,21,Premium,19.99,2024-07-30,active,,
22_202307,22,Basic,9.99,2023-07-05,active,,
22_202308,22,Basic,9.99,2023-08-04,active,,
22_202309,22,Basic,9.99,2023-09-03,active,,
22_202310,22,Basic,9.99,2023-10-03,active,,
22_202311,22,Basic,9.99,2023-11-02,active,,
22_202312,22,Basic,9.99,2023-12-02,active,,
22_202401,22,Basic,9.99,2024-01-01,active,,
22_202401,22,Basic,9.99,2024-01-31,active,,
22_202403,22,Basic,9.99,2024-03-01,active,,
23_202309,23,Basic,9.99,2023-09-06,active,,
23_202310,23,Basic,9.99,2023-10-06,active,,
23_202311,23,Basic,9.99,2023-11-05,active,,
23_202312,23,Basic,9.99,2023-12-05,active,,
23_202401,23,Basic,9.99,2024-01-04,active,,
23_202402,23,Basic,9.99,2024-02-03,active,,
23_202403,23,Basic,9.99,2024-03-04,active,,
23_202404,23,Basic,9.99,2024-04-03,active,,
23_202405,23,Basic,9.99,2024-05-03,active,,
24_202309,24,Family,24.99,2023-09-28,active,,
24_202310,24,Family,24.99,2023-10-28,active,,
24_202311,24,Family,24.99,2023-11-27,active,,
24_202312,24,Family,24.99,2023-12-27,active,,
24_202401,24,Family,24.99,2024-01-26,active,,
24_202402,24,Family,24.99,2024-02-25,active,,
24_202403,24,Family,24.99,2024-03-26,active,,
24_202404,24,Family,24.99,2024-04-25,active,,
24_202405,24,Family,24.99,2024-05-25,active,,
24_202406,24,Family,24.99,2024-06-24,active,,
25_202312,25,Basic,9.99,2023-12-10,active,,
25_202401,25,Basic,9.99,2024-01-09,active,,
25_202402,25,Basic,9.99,2024-02-08,active,,
25_202403,25,Basic,9.99,2024-03-09,active,,
25_202404,25,Basic,9.99,2024-04-08,active,,
26_202304,26,Premium,19.99,2023-04-26,active,,
26_202305,26,Premium,19.99,2023-05-26,active,,
26_202306,26,Premium,19.99,2023-06-25,active,,
26_202307,26,Premium,19.99,2023-07-25,active,,
26_202308,26,Premium,19.99,2023-08-24,active,,
27_202302,27,Standard,14.99,2023-02-06,active,,
27_202303,27,Standard,14.99,2023-03-08,active,,
27_202304,27,Standard,14.99,2023-04-07,active,,
27_202305,27,Standard,14.99,2023-05-07,active,,
27_202306,27,Standard,14.99,2023-06-06,active,,
27_202307,27,Standard,14.99,2023-07-06,active,,
27_202308,27,Standard,14.99,2023-08-05,active,,
28_202302,28,Family,24.99,2023-02-06,active,,
28_202303,28,Family,24.99,2023-03-08,active,,
28_202304,28,Family,24.99,2023-04-07,active,,
28_202305,28,Family,24.99,2023-05-07,active,,
29_202303,29,Family,24.99,2023-03-09,active,,
29_202304,29,Family,24.99,2023-04-08,active,,
29_202305,29,Family,24.99,2023-05-08,active,,
29_202306,29,Family,24.99,2023-06-07,active,,
29_202307,29,Family,24.99,2023-07-07,active,,
29_202308,29,Family,24.99,2023-08-06,active,,
29_202309,29,Family,24.99,2023-09-05,active,,
29_202310,29,Family,24.99,2023-10-05,active,,
29_202311,29,Family,24.99,2023-11-04,active,,
29_202312,29,Family,24.99,2023-12-04,active,,
29_202401,29,Family,24.99,2024-01-03,active,,
30_202304,30,Family,24.99,2023-04-08,active,,
30_202305,30,Family,24.99,2023-05-08,active,,
30_202306,30,Family,24.99,2023-06-07,active,,
30_202307,30,Family,24.99,2023-07-07,active,,
30_202308,30,Family,24.99,2023-08-06,active,,
30_202309,30,Family,24.99,2023-09-05,active,,
30_202310,30,Family,24.99,2023-10-05,active,,
30_202311,30,Family,24.99,2023-11-04,active,,
30_202312,30,Family,24.99,2023-12-04,active,,
30_202401,30,Family,24.99,2024-01-03,active,,
31_202301,31,Standard,14.99,2023-01-28,active,,
31_202302,31,Standard,14.99,2023-02-27,active,,
31_202303,31,Standard,14.99,2023-03-29,active,,
31_202304,31,Standard,14.99,2023-04-28,active,,
31_202305,31,Standard,14.99,2023-05-28,active,,
31_202306,31,Standard,14.99,2023-06-27,active,,
31_202307,31,Standard,14.99,2023-07-27,active,,
31_202308,31,Standard,14.99,2023-08-26,active,,
31_202309,31,Standard,14.99,2023-09-25,active,,
31_202310,31,Standard,14.99,2023-10-25,active,,
31_202311,31,Standard,14.99,2023-11-24,churned,2023-12-03,Technical Issues
32_202305,32,Family,24.99,2023-05-08,active,,
32_202306,32,Family,24.99,2023-06-07,active,,
32_202307,32,Family,24.99,2023-07-07,active,,
32_202308,32,Family,24.99,2023-08-06,active,,
32_202309,32,Family,24.99,2023-09-05,active,,
32_202310,32,Family,24.99,2023-10-05,active,,
32_202311,32,Family,24.99,2023-11-04,active,,
32_202312,32,Family,24.99,2023-12-04,active,,
32_202401,32,Family,24.99,2024-01-03,active,,
32_202402,32,Family,24.99,2024-02-02,active,,
32_202403,32,Family,24.99,2024-03-03,active,,
32_202404,32,Family,24.99,2024-04-02,active,,
33_202305,33,Premium,19.99,2023-05-23,active,,
33_202306,33,Premium,19.99,2023-06-22,active,,
33_202307,33,Premium,19.99,2023-07-22,active,,
33_202308,33,Premium,19.99,2023-08-21,active,,
33_202309,33,Premium,19.99,2023-09-20,active,,
33_202310,33,Premium,19.99,2023-10-20,active,,
33_202311,33,Premium,19.99,2023-11-19,active,,
33_202312,33,Premium,19.99,2023-12-19,churned,2024-01-07,Price
34_202310,34,Standard,14.99,2023-10-04,active,,
34_202311,34,Standard,14.99,2023-11-03,active,,
34_202312,34,Standard,14.99,2023-12-03,active,,
34_202401,34,Standard,14.99,2024-01-02,active,,
34_202402,34,Standard,14.99,2024-02-01,active,,
34_202403,34,Standard,14.99,2024-03-02,active,,
34_202404,34,Standard,14.99,2024-04-01,active,,
34_202405,34,Standard,14.99,2024-05-01,active,,
35_202304,35,Basic,9.99,2023-04-20,active,,
35_202305,35,Basic,9.99,2023-05-20,active,,
35_202306,35,Basic,9.99,2023-06-19,active,,
35_202307,35,Basic,9.99,2023-07-19,active,,
35_202308,35,Basic,9.99,2023-08-18,active,,
35_202309,35,Basic,9.99,2023-09-17,active,,
35_202310,35,Basic,9.99,2023-10-17,active,,
35_202311,35,Basic,9.99,2023-11-16,active,,
36_202308,36,Family,24.99,2023-08-21,active,,
36_202309,36,Family,24.99,2023-09-20,active,,
36_202310,36,Family,24.99,2023-10-20,active,,
36_202311,36,Family,24.99,2023-11-19,active,,
36_202312,36,Family,24.99,2023-12-19,active,,
36_202401,36,Family,24.99,2024-01-18,active,,
36_202402,36,Family,24.99,2024-02-17,active,,
36_202403,36,Family,24.99,2024-03-18,active,,
37_202306,37,Family,24.99,2023-06-01,active,,
37_202307,37,Family,24.99,2023-07-01,active,,
37_202307,37,Family,24.99,2023-07-31,active,,
37_202308,37,Family,24.99,2023-08-30,active,,
37_202309,37,Family,24.99,2023-09-29,active,,
37_202310,37,Family,24.99,2023-10-29,active,,
37_202311,37,Family,24.99,2023-11-28,active,,
37_202312,37,Family,24.99,2023-12-28,churned,2024-01-05,Content
38_202301,38,Standard,14.99,2023-01-26,active,,
38_202302,38,Standard,14.99,2023-02-25,active,,
38_202303,38,Standard,14.99,2023-03-27,active,,
38_202304,38,Standard,14.99,2023-04-26,active,,
38_202305,38,Standard,14.99,2023-05-26,active,,
38_202306,38,Standard,14.99,2023-06-25,active,,
38_202307,38,Standard,14.99,2023-07-25,active,,
39_202302,39,Basic,9.99,2023-02-11,active,,
39_202303,39,Basic,9.99,2023-03-13,active,,
39_202304,39,Basic,9.99,2023-04-12,active,,
39_202305,39,Basic,9.99,2023-05-12,active,,
39_202306,39,Basic,9.99,2023-06-11,active,,
39_202307,39,Basic,9.99,2023-07-11,active,,
39_202308,39,Basic,9.99,2023-08-10,churned,2023-08-16,Price
40_202310,40,Premium,19.99,2023-10-19,active,,
40_202311,40,Premium,19.99,2023-11-18,active,,
40_202312,40,Premium,19.99,2023-12-18,active,,
41_202310,41,Family,24.99,2023-10-26,active,,
41_202311,41,Family,24.99,2023-11-25,active,,
41_202312,41,Family,24.99,2023-12-25,active,,
41_202401,41,Family,24.99,2024-01-24,active,,
41_202402,41,Family,24.99,2024-02-23,active,,
41_202403,41,Family,24.99,2024-03-24,active,,
41_202404,41,Family,24.99,2024-04-23,active,,
41_202405,41,Family,24.99,2024-05-23,active,,
41_202406,41,Family,24.99,2024-06-22,active,,
41_202407,41,Family,24.99,2024-07-22,active,,
41_202408,41,Family,24.99,2024-08-21,active,,
41_202409,41,Family,24.99,2024-09-20,active,,
42_202305,42,Family,24.99,2023-05-16,active,,
42_202306,42,Family,24.99,2023-06-15,active,,
42_202307,42,Family,24.99,2023-07-15,active,,
42_202308,42,Family,24.99,2023-08-14,active,,
42_202309,42,Family,24.99,2023-09-13,active,,
42_202310,42,Family,24.99,2023-10-13,active,,
42_202311,42,Family,24.99,2023-11-12,churned,2023-11-28,Price
43_202308,43,Premium,19.99,2023-08-23,active,,
43_202309,43,Premium,19.99,2023-09-22,active,,
43_202310,43,Premium,19.99,2023-10-22,active,,
43_202311,43,Premium,19.99,2023-11-21,active,,
43_202312,43,Premium,19.99,2023-12-21,active,,
43_202401,43,Premium,19.99,2024-01-20,active,,
43_202402,43,Premium,19.99,2024-02-19,active,,
43_202403,43,Premium,19.99,2024-03-20,active,,
43_202404,43,Premium,19.99,2024-04-19,active,,
44_202306,44,Premium,19.99,2023-06-28,active,,
44_202307,44,Premium,19.99,2023-07-28,active,,
44_202308,44,Premium,19.99,2023-08-27,active,,
44_202309,44,Premium,19.99,2023-09-26,active,,
44_202310,44,Premium,19.99,2023-10-26,active,,
44_202311,44,Premium,19.99,2023-11-25,active,,
44_202312,44,Premium,19.99,2023-12-25,active,,
44_202401,44,Premium,19.99,2024-01-24,active,,
44_202402,44,Premium,19.99,2024-02-23,active,,
44_202403,44,Premium,19.99,2024-03-24,active,,
44_202404,44,Premium,19.99,2024-04-23,active,,
44_202405,44,Premium,19.99,2024-05-23,churned,2024-06-08,Price
45_202312,45,Standard,14.99,2023-12-27,active,,
45_202401,45,Standard,14.99,2024-01-26,active,,
45_202402,45,Standard,14.99,2024-02-25,active,,
45_202403,45,Standard,14.99,2024-03-26,active,,
45_202404,45,Standard,14.99,2024-04-25,active,,
45_202405,45,Standard,14.99,2024-05-25,active,,
45_202406,45,Standard,14.99,2024-06-24,active,,
45_202407,45,Standard,14.99,2024-07-24,active,,
46_202305,46,Premium,19.99,2023-05-16,active,,
46_202306,46,Premium,19.99,2023-06-15,active,,
46_202307,46,Premium,19.99,2023-07-15,active,,
46_202308,46,Premium,19.99,2023-08-14,active,,
46_202309,46,Premium,19.99,2023-09-13,active,,
47_202304,47,Premium,19.99,2023-04-18,active,,
47_202305,47,Premium,19.99,2023-05-18,active,,
47_202306,47,Premium,19.99,2023-06-17,active,,
47_202307,47,Premium,19.99,2023-07-17,active,,
47_202308,47,Premium,19.99,2023-08-16,active,,
47_202309,47,Premium,19.99,2023-09-15,active,,
47_202310,47,Premium,19.99,2023-10-15,active,,
47_202311,47,Premium,19.99,2023-11-14,active,,
47_202312,47,Premium,19.99,2023-12-14,active,,
48_202301,48,Basic,9.99,2023-01-27,active,,
48_202302,48,Basic,9.99,2023-02-26,active,,
48_202303,48,Basic,9.99,2023-03-28,active,,
48_202304,48,Basic,9.99,2023-04-27,active,,
48_202305,48,Basic,9.99,2023-05-27,active,,
48_202306,48,Basic,9.99,2023-06-26,active,,
48_202307,48,Basic,9.99,2023-07-26,active,,
48_202308,48,Basic,9.99,2023-08-25,active,,
48_202309,48,Basic,9.99,2023-09-24,active,,
48_202310,48,Basic,9.99,2023-10-24,active,,
48_202311,48,Basic,9.99,2023-11-23,active,,
49_202303,49,Premium,19.99,2023-03-08,active,,
49_202304,49,Premium,19.99,2023-04-07,active,,
49_202305,49,Premium,19.99,2023-05-07,active,,
50_202301,50,Family,24.99,2023-01-05,active,,
50_202302,50,Family,24.99,2023-02-04,active,,
50_202303,50,Family,24.99,2023-03-06,active,,
50_202304,50,Family,24.99,2023-04-05,active,,
50_202305,50,Family,24.99,2023-05-05,active,,
50_202306,50,Family,24.99,2023-06-04,active,,
51_202310,51,Basic,9.99,2023-10-10,active,,
51_202311,51,Basic,9.99,2023-11-09,active,,
51_202312,51,Basic,9.99,2023-12-09,active,,
51_202401,51,Basic,9.99,2024-01-08,active,,
51_202402,51,Basic,9.99,2024-02-07,active,,
51_202403,51,Basic,9.99,2024-03-08,active,,
51_202404,51,Basic,9.99,2024-04-07,active,,
51_202405,51,Basic,9.99,2024-05-07,active,,
51_202406,51,Basic,9.99,2024-06-06,active,,
51_202407,51,Basic,9.99,2024-07-06,active,,
51_202408,51,Basic,9.99,2024-08-05,active,,
51_202409,51,Basic,9.99,2024-09-04,churned,2024-09-15,Competition
52_202307,52,Basic,9.99,2023-07-03,active,,
52_202308,52,Basic,9.99,2023-08-02,active,,
52_202309,52,Basic,9.99,2023-09-01,active,,
52_202310,52,Basic,9.99,2023-10-01,active,,
52_202310,52,Basic,9.99,2023-10-31,active,,
52_202311,52,Basic,9.99,2023-11-30,active,,
52_202312,52,Basic,9.99,2023-12-30,active,,
52_202401,52,Basic,9.99,2024-01-29,active,,
52_202402,52,Basic,9.99,2024-02-28,active,,
52_202403,52,Basic,9.99,2024-03-29,active,,
52_202404,52,Basic,9.99,2024-04-28,active,,
52_202405,52,Basic,9.99,2024-05-28,active,,
53_202307,53,Family,24.99,2023-07-28,active,,
53_202308,53,Family,24.99,2023-08-27,active,,
53_202309,53,Family,24.99,2023-09-26,active,,
53_202310,53,Family,24.99,2023-10-26,active,,
53_202311,53,Family,24.99,2023-11-25,active,,
53_202312,53,Family,24.99,2023-12-25,active,,
53_202401,53,Family,24.99,2024-01-24,active,,
53_202402,53,Family,24.99,2024-02-23,active,,
53_202403,53,Family,24.99,2024-03-24,active,,
54_202301,54,Basic,9.99,2023-01-13,active,,
54_202302,54,Basic,9.99,2023-02-12,active,,
54_202303,54,Basic,9.99,2023-03-14,active,,
54_202304,54,Basic,9.99,2023-04-13,active,,
54_202305,54,Basic,9.99,2023-05-13,active,,
54_202306,54,Basic,9.99,2023-06-12,active,,
54_202307,54,Basic,9.99,2023-07-12,active,,
55_202312,55,Premium,19.99,2023-12-26,active,,
55_202401,55,Premium,19.99,2024-01-25,active,,
55_202402,55,Premium,19.99,2024-02-24,active,,
55_202403,55,Premium,19.99,2024-03-25,active,,
55_202404,55,Premium,19.99,2024-04-24,active,,
55_202405,55,Premium,19.99,2024-05-24,active,,
55_202406,55,Premium,19.99,2024-06-23,active,,
55_202407,55,Premium,19.99,2024-07-23,active,,
55_202408,55,Premium,19.99,2024-08-22,active,,
56_202306,56,Premium,19.99,2023-06-29,active,,
56_202307,56,Premium,19.99,2023-07-29,active,,
56_202308,56,Premium,19.99,2023-08-28,active,,
56_202309,56,Premium,19.99,2023-09-27,active,,
56_202310,56,Premium,19.99,2023-10-27,active,,
56_202311,56,Premium,19.99,2023-11-26,active,,
57_202305,57,Premium,19.99,2023-05-23,active,,
57_202306,57,Premium,19.99,2023-06-22,active,,
57_202307,57,Premium,19.99,2023-07-22,active,,
57_202308,57,Premium,19.99,2023-08-21,active,,
57_202309,57,Premium,19.99,2023-09-20,active,,
57_202310,57,Premium,19.99,2023-10-20,active,,
57_202311,57,Premium,19.99,2023-11-19,active,,
57_202312,57,Premium,19.99,2023-12-19,active,,
57_202401,57,Premium,19.99,2024-01-18,active,,
57_202402,57,Premium,19.99,2024-02-17,active,,
57_202403,57,Premium,19.99,2024-03-18,active,,
57_202404,57,Premium,19.99,2024-04-17,active,,
58_202303,58,Standard,14.99,2023-03-01,active,,
58_202303,58,Standard,14.99,2023-03-31,active,,
58_202304,58,Standard,14.99,2023-04-30,active,,
59_202308,59,Standard,14.99,2023-08-11,active,,
59_202309,59,Standard,14.99,2023-09-10,active,,
59_202310,59,Standard,14.99,2023-10-10,active,,
59_202311,59,Standard,14.99,2023-11-09,active,,
59_202312,59,Standard,14.99,2023-12-09,active,,
59_202401,59,Standard,14.99,2024-01-08,active,,
59_202402,59,Standard,14.99,2024-02-07,active,,
59_202403,59,Standard,14.99,2024-03-08,active,,
59_202404,59,Standard,14.99,2024-04-07,active,,
59_202405,59,Standard,14.99,2024-05-07,active,,
59_202406,59,Standard,14.99,2024-06-06,active,,
59_202407,59,Standard,14.99,2024-07-06,active,,
60_202304,60,Family,24.99,2023-04-08,active,,
60_202305,60,Family,24.99,2023-05-08,active,,
60_202306,60,Family,24.99,2023-06-07,active,,
60_202307,60,Family,24.99,2023-07-07,active,,
60_202308,60,Family,24.99,2023-08-06,active,,
60_202309,60,Family,24.99,2023-09-05,active,,
60_202310,60,Family,24.99,2023-10-05,active,,
61_202302,61,Family,24.99,2023-02-05,active,,
61_202303,61,Family,24.99,2023-03-07,active,,
61_202304,61,Family,24.99,2023-04-06,active,,
61_202305,61,Family,24.99,2023-05-06,active,,
61_202306,61,Family,24.99,2023-06-05,active,,
61_202307,61,Family,24.99,2023-07-05,active,,
61_202308,61,Family,24.99,2023-08-04,active,,
61_202309,61,Family,24.99,2023-09-03,active,,
61_202310,61,Family,24.99,2023-10-03,active,,
61_202311,61,Family,24.99,2023-11-02,active,,
61_202312,61,Family,24.99,2023-12-02,active,,
61_202401,61,Family,24.99,2024-01-01,active,,
62_202306,62,Basic,9.99,2023-06-08,active,,
62_202307,62,Basic,9.99,2023-07-08,active,,
62_202308,62,Basic,9.99,2023-08-07,active,,
62_202309,62,Basic,9.99,2023-09-06,active,,
62_202310,62,Basic,9.99,2023-10-06,active,,
62_202311,62,Basic,9.99,2023-11-05,active,,
62_202312,62,Basic,9.99,2023-12-05,active,,
62_202401,62,Basic,9.99,2024-01-04,active,,
62_202402,62,Basic,9.99,2024-02-03,active,,
62_202403,62,Basic,9.99,2024-03-04,active,,
62_202404,62,Basic,9.99,2024-04-03,active,,
63_202308,63,Family,24.99,2023-08-04,active,,
63_202309,63,Family,24.99,2023-09-03,active,,
63_202310,63,Family,24.99,2023-10-03,active,,
63_202311,63,Family,24.99,2023-11-02,active,,
63_202312,63,Family,24.99,2023-12-02,active,,
64_202301,64,Premium,19.99,2023-01-01,active,,
64_202301,64,Premium,19.99,2023-01-31,active,,
64_202303,64,Premium,19.99,2023-03-02,active,,
64_202304,64,Premium,19.99,2023-04-01,active,,
64_202305,64,Premium,19.99,2023-05-01,active,,
64_202305,64,Premium,19.99,2023-05-31,active,,
64_202306,64,Premium,19.99,2023-06-30,active,,
64_202307,64,Premium,19.99,2023-07-30,active,,
64_202308,64,Premium,19.99,2023-08-29,active,,
65_202308,65,Basic,9.99,2023-08-15,active,,
65_202309,65,Basic,9.99,2023-09-14,active,,
65_202310,65,Basic,9.99,2023-10-14,active,,
65_202311,65,Basic,9.99,2023-11-13,active,,
65_202312,65,Basic,9.99,2023-12-13,active,,
65_202401,65,Basic,9.99,2024-01-12,active,,
66_202309,66,Premium,19.99,2023-09-21,active,,
66_202310,66,Premium,19.99,2023-10-21,active,,
66_202311,66,Premium,19.99,2023-11-20,active,,
66_202312,66,Premium,19.99,2023-12-20,active,,
66_202401,66,Premium,19.99,2024-01-19,active,,
66_202402,66,Premium,19.99,2024-02-18,active,,
66_202403,66,Premium,19.99,2024-03-19,active,,
67_202306,67,Premium,19.99,2023-06-08,active,,
67_202307,67,Premium,19.99,2023-07-08,active,,
67_202308,67,Premium,19.99,2023-08-07,active,,
67_202309,67,Premium,19.99,2023-09-06,active,,
67_202310,67,Premium,19.99,2023-10-06,active,,
67_202311,67,Premium,19.99,2023-11-05,active,,
67_202312,67,Premium,19.99,2023-12-05,active,,
67_202401,67,Premium,19.99,2024-01-04,active,,
67_202402,67,Premium,19.99,2024-02-03,active,,
67_202403,67,Premium,19.99,2024-03-04,active,,
67_202404,67,Premium,19.99,2024-04-03,active,,
67_202405,67,Premium,19.99,2024-05-03,active,,
68_202311,68,Standard,14.99,2023-11-09,active,,
68_202312,68,Standard,14.99,2023-12-09,active,,
68_202401,68,Standard,14.99,2024-01-08,active,,
68_202402,68,Standard,14.99,2024-02-07,churned,2024-02-08,Content
69_202307,69,Premium,19.99,2023-07-24,active,,
69_202308,69,Premium,19.99,2023-08-23,active,,
