subscription_id,user_id,plan_type,monthly_revenue,tenure_months,is_churned,internet_service,total_revenue
telco_34,34,Month-to-month,20.2,1,0,No,20.2
telco_35,35,Month-to-month,45.25,1,0,DSL,45.25
telco_36,36,Two year,99.9,72,0,Fiber optic,7251.7
telco_37,37,Month-to-month,69.7,5,1,Fiber optic,316.9
telco_38,38,Month-to-month,74.8,46,0,Fiber optic,3548.3
telco_39,39,Month-to-month,106.35,34,1,Fiber optic,3549.25
telco_40,40,Month-to-month,97.85,11,1,Fiber optic,1105.4
telco_41,41,One year,49.55,10,0,DSL,475.7
telco_42,42,Two year,69.2,70,0,DSL,4872.35
telco_43,43,One year,20.75,17,0,No,418.25
telco_44,44,Two year,79.85,63,0,DSL,4861.45
telco_45,45,Month-to-month,76.2,13,0,DSL,981.45
telco_46,46,Month-to-month,84.5,49,0,Fiber optic,3906.7
telco_47,47,Month-to-month,49.25,2,0,DSL,97.0
telco_48,48,Month-to-month,80.65,2,1,Fiber optic,144.15
telco_49,49,Two year,79.75,52,0,DSL,4217.8
telco_50,50,Two year,64.15,69,0,DSL,4254.1
telco_51,51,Month-to-month,90.25,43,0,Fiber optic,3838.75
telco_52,52,Month-to-month,99.1,15,1,Fiber optic,1426.4
telco_53,53,Month-to-month,69.5,25,0,DSL,1752.65
telco_54,54,Month-to-month,80.65,8,1,Fiber optic,633.3
telco_55,55,One year,74.85,60,0,DSL,4456.35
telco_56,56,Month-to-month,95.45,18,1,Fiber optic,1752.55
telco_57,57,One year,99.65,63,0,Fiber optic,6311.2
telco_58,58,One year,108.45,66,0,Fiber optic,7076.35
telco_59,59,Two year,24.95,34,0,No,894.3
telco_60,60,Two year,107.5,72,0,Fiber optic,7853.7
telco_61,61,Month-to-month,100.5,47,0,Fiber optic,4707.1
telco_62,62,Month-to-month,89.9,60,0,Fiber optic,5450.7
telco_63,63,Two year,42.1,72,0,DSL,2962.0
telco_64,64,One year,54.4,18,0,DSL,957.1
telco_65,65,Month-to-month,94.4,9,1,Fiber optic,857.25
telco_66,66,Month-to-month,75.3,3,0,DSL,244.1
telco_67,67,One year,78.9,47,0,Fiber optic,3650.35
telco_68,68,Two year,79.2,31,0,DSL,2497.2
telco_69,69,Two year,20.15,50,0,No,930.9
telco_70,70,Month-to-month,79.85,10,0,Fiber optic,887.35
telco_71,71,Month-to-month,49.05,1,0,DSL,49.05
telco_72,72,One year,20.4,52,0,No,1090.65
telco_73,73,Two year,111.6,64,0,Fiber optic,7099.0
telco_74,74,Two year,24.25,62,0,No,1424.6
telco_75,75,Month-to-month,64.5,3,0,DSL,177.4
telco_76,76,One year,110.5,56,0,Fiber optic,6139.5
telco_77,77,One year,55.65,46,0,DSL,2688.85
telco_78,78,Month-to-month,54.65,8,0,DSL,482.25
telco_79,79,Month-to-month,74.75,30,0,DSL,2111.3
telco_80,80,One year,25.9,45,0,No,1216.6
telco_81,81,Month-to-month,79.35,1,1,Fiber optic,79.35
telco_82,82,Month-to-month,50.55,11,0,DSL,565.35
telco_83,83,Month-to-month,75.15,7,1,Fiber optic,496.9
telco_84,84,Month-to-month,103.8,42,0,Fiber optic,4327.5
telco_85,85,Two year,20.15,49,0,No,973.35
telco_86,86,Month-to-month,99.3,9,0,Fiber optic,918.75
telco_87,87,One year,62.15,35,0,DSL,2215.45
telco_88,88,Two year,20.65,48,0,No,1057.0
telco_89,89,Two year,19.95,46,0,No,927.1
telco_90,90,Month-to-month,33.75,29,0,DSL,1009.25
telco_91,91,Month-to-month,82.05,30,0,Fiber optic,2570.2
telco_92,92,Month-to-month,74.7,1,0,Fiber optic,74.7
telco_93,93,Two year,84.0,66,0,DSL,5714.25
telco_94,94,Month-to-month,111.05,65,0,Fiber optic,7107.0
telco_95,95,Two year,100.9,72,0,Fiber optic,7459.05
telco_96,96,Month-to-month,78.95,12,1,Fiber optic,927.35
telco_97,97,One year,66.85,71,0,DSL,4748.7
telco_98,98,Month-to-month,21.05,5,1,No,113.85
telco_99,99,Two year,21.0,52,0,No,1107.2
telco_100,100,Month-to-month,98.5,25,1,Fiber optic,2514.5
telco_101,101,Month-to-month,20.2,1,0,No,20.2
telco_102,102,Month-to-month,19.45,1,0,No,19.45
telco_103,103,One year,95.0,38,0,Fiber optic,3605.6
telco_104,104,One year,45.55,66,0,DSL,3027.25
telco_105,105,Two year,110.0,68,1,Fiber optic,7611.85
telco_106,106,Month-to-month,24.3,5,0,DSL,100.2
telco_107,107,One year,104.15,72,0,Fiber optic,7303.05
telco_108,108,One year,30.15,32,0,DSL,927.65
telco_109,109,One year,94.35,43,0,Fiber optic,3921.3
telco_110,110,Two year,19.4,72,0,No,1363.25
telco_111,111,Month-to-month,96.75,55,1,Fiber optic,5238.9
telco_112,112,One year,57.95,52,0,DSL,3042.25
telco_113,113,Month-to-month,91.65,43,0,Fiber optic,3954.1
telco_114,114,Month-to-month,76.5,37,1,Fiber optic,2868.15
telco_115,115,Two year,54.6,64,0,DSL,3423.5
telco_116,116,Month-to-month,89.85,3,0,Fiber optic,248.4
telco_117,117,Two year,31.05,36,0,DSL,1126.35
telco_118,118,Month-to-month,100.25,10,1,Fiber optic,1064.65
telco_119,119,Two year,20.65,41,0,No,835.15
telco_120,120,Month-to-month,85.2,27,0,Fiber optic,2151.6
telco_121,121,One year,99.8,56,0,Fiber optic,5515.45
telco_122,122,Month-to-month,20.7,6,0,No,112.75
telco_123,123,Month-to-month,74.4,3,1,Fiber optic,229.55
telco_124,124,Month-to-month,50.7,7,0,DSL,350.35
telco_125,125,Month-to-month,20.85,4,0,No,62.9
telco_126,126,Two year,88.95,33,0,Fiber optic,3027.65
telco_127,127,Month-to-month,78.05,27,1,Fiber optic,2135.5
telco_128,128,Two year,23.55,72,0,No,1723.95
telco_129,129,Month-to-month,19.75,1,0,No,19.75
telco_130,130,One year,56.45,71,0,DSL,3985.35
telco_131,131,Month-to-month,85.95,13,0,Fiber optic,1215.65
telco_132,132,Month-to-month,58.6,25,1,DSL,1502.65
telco_133,133,Two year,50.55,67,0,DSL,3260.1
telco_134,134,Month-to-month,35.45,1,1,DSL,35.45
telco_135,135,Month-to-month,44.35,2,1,DSL,81.25
telco_136,136,Two year,25.7,43,0,No,1188.2
telco_137,137,Month-to-month,75.0,23,0,Fiber optic,1778.5
telco_138,138,Two year,20.2,64,0,No,1277.75
telco_139,139,Two year,19.6,57,0,No,1170.55
telco_140,140,Month-to-month,70.45,1,1,Fiber optic,70.45
telco_141,141,Two year,88.05,72,0,DSL,6425.65
telco_142,142,Month-to-month,71.15,8,1,DSL,563.65
telco_143,143,Two year,101.05,61,0,Fiber optic,5971.25
telco_144,144,One year,84.3,64,0,Fiber optic,5289.05
telco_145,145,Two year,23.95,71,0,No,1756.2
telco_146,146,Two year,99.05,65,0,Fiber optic,6416.7
telco_147,147,One year,19.6,3,0,No,61.35
telco_148,148,Month-to-month,45.65,1,1,DSL,45.65
telco_149,149,One year,64.5,30,0,DSL,1929.95
telco_150,150,Month-to-month,69.5,15,0,DSL,1071.4
telco_151,151,Month-to-month,68.55,8,0,DSL,564.35
telco_152,152,Month-to-month,95.0,7,1,Fiber optic,655.5
telco_153,153,One year,108.15,70,0,Fiber optic,7930.55
telco_154,154,Two year,86.1,62,0,DSL,5215.25
telco_155,155,Month-to-month,19.7,6,0,No,113.5
telco_156,156,Month-to-month,80.9,14,0,Fiber optic,1152.8
telco_157,157,Month-to-month,84.15,22,0,Fiber optic,1821.95
telco_158,158,One year,20.15,22,0,No,419.9
telco_159,159,Two year,64.25,16,0,DSL,1024.0
telco_160,160,Two year,25.7,10,0,No,251.6
telco_161,161,Month-to-month,56.0,13,0,DSL,764.55
telco_162,162,Month-to-month,82.4,20,1,Fiber optic,1592.35
telco_163,163,Month-to-month,69.7,2,0,Fiber optic,135.2
telco_164,164,Two year,73.9,53,0,DSL,3958.25
telco_165,165,One year,20.6,11,0,No,233.9
telco_166,166,Two year,19.9,69,0,No,1363.45
telco_167,167,Month-to-month,70.9,4,1,Fiber optic,273.0
telco_168,168,Two year,89.05,72,0,DSL,6254.45
telco_169,169,Month-to-month,45.3,58,1,DSL,2651.2
telco_170,170,Month-to-month,20.4,16,0,No,321.4
telco_171,171,One year,84.25,43,0,Fiber optic,3539.25
telco_172,172,Month-to-month,104.4,2,1,Fiber optic,242.8
telco_173,173,Two year,81.95,14,0,DSL,1181.75
telco_174,174,One year,94.85,53,1,Fiber optic,5000.2
telco_175,175,One year,20.55,32,0,No,654.55
telco_176,176,Month-to-month,24.7,34,0,No,780.2
telco_177,177,Month-to-month,74.45,15,1,Fiber optic,1145.7
telco_178,178,Month-to-month,76.45,7,1,Fiber optic,503.6
telco_179,179,Month-to-month,105.35,15,0,Fiber optic,1559.25
telco_180,180,One year,20.55,61,0,No,1252.0
telco_181,181,Month-to-month,29.95,1,1,DSL,29.95
telco_182,182,Month-to-month,45.3,1,0,DSL,45.3
telco_183,183,Month-to-month,84.5,8,1,Fiber optic,662.65
telco_184,184,One year,74.75,33,0,DSL,2453.3
telco_185,185,Month-to-month,79.25,13,1,Fiber optic,1111.65
telco_186,186,Month-to-month,24.8,1,1,DSL,24.8
telco_187,187,Month-to-month,51.8,20,0,DSL,1023.85
telco_188,188,Month-to-month,30.4,3,0,DSL,82.15
telco_189,189,One year,19.65,13,0,No,244.8
telco_190,190,Month-to-month,56.6,40,0,DSL,2379.1
telco_191,191,One year,71.9,43,0,DSL,3173.35
telco_192,192,Month-to-month,91.0,6,1,Fiber optic,531.0
telco_193,193,Two year,19.75,69,0,No,1375.4
telco_194,194,Two year,109.7,72,0,Fiber optic,8129.3
telco_195,195,Two year,19.3,59,0,No,1192.7
telco_196,196,Month-to-month,96.55,20,0,Fiber optic,1901.65
telco_197,197,Two year,24.1,24,0,No,587.4
telco_198,198,Month-to-month,111.35,59,0,Fiber optic,6519.75
telco_199,199,Two year,112.25,72,0,Fiber optic,8041.65
telco_200,200,Month-to-month,20.75,1,0,No,20.75
telco_201,201,One year,101.9,27,0,Fiber optic,2681.15
telco_202,202,Month-to-month,80.05,14,0,Fiber optic,1112.3
telco_203,203,Two year,105.55,71,0,Fiber optic,7405.5
telco_204,204,Month-to-month,78.3,13,0,Fiber optic,1033.95
telco_205,205,Month-to-month,68.85,44,0,Fiber optic,2958.95
telco_206,206,One year,79.95,33,0,Fiber optic,2684.85
telco_207,207,Two year,55.45,72,0,DSL,4179.2
telco_208,208,Month-to-month,79.9,1,1,Fiber optic,79.9
telco_209,209,Month-to-month,106.6,19,1,Fiber optic,1934.45
telco_210,210,One year,102.45,64,0,Fiber optic,6654.1
telco_211,211,Month-to-month,46.0,2,1,DSL,84.5
telco_212,212,Month-to-month,25.25,1,0,DSL,25.25
telco_213,213,Two year,19.75,61,0,No,1124.2
telco_214,214,One year,20.0,29,0,No,540.05
telco_215,215,Month-to-month,86.8,23,0,Fiber optic,1975.85
telco_216,216,Month-to-month,58.75,57,0,DSL,3437.45
telco_217,217,Two year,45.25,72,0,DSL,3139.8
telco_218,218,Two year,56.6,66,0,DSL,3789.2
telco_219,219,Two year,84.2,65,0,DSL,5324.5
telco_220,220,Month-to-month,80.0,8,0,Fiber optic,624.6
telco_221,221,Month-to-month,70.15,4,1,Fiber optic,268.35
telco_222,222,Two year,24.75,71,0,No,1836.9
telco_223,223,One year,20.2,1,0,No,20.2
telco_224,224,Month-to-month,50.05,4,1,DSL,179.35
telco_225,225,One year,19.35,12,0,No,219.35
telco_226,226,One year,50.6,24,0,DSL,1288.75
telco_227,227,One year,81.15,31,0,DSL,2545.75
telco_228,228,Month-to-month,55.2,1,1,DSL,55.2
telco_229,229,Month-to-month,89.9,30,0,Fiber optic,2723.15
telco_230,230,Two year,85.3,47,0,DSL,4107.25
telco_231,231,Two year,108.0,54,0,Fiber optic,5760.65
telco_232,232,Month-to-month,93.5,50,0,Fiber optic,4747.5
telco_233,233,Month-to-month,84.6,1,1,Fiber optic,84.6
telco_234,234,Two year,20.25,72,0,No,1566.9
telco_235,235,Month-to-month,25.15,29,0,No,702.0
telco_236,236,Month-to-month,54.4,2,1,DSL,114.1
telco_237,237,Two year,29.6,10,0,DSL,299.05
telco_238,238,Month-to-month,73.15,18,0,Fiber optic,1305.95
telco_239,239,Month-to-month,95.0,11,1,Fiber optic,1120.3
telco_240,240,Two year,19.75,16,0,No,284.35
telco_241,241,Two year,86.6,72,0,DSL,6350.5
telco_242,242,Two year,109.2,72,0,Fiber optic,7878.3
telco_243,243,One year,74.7,41,0,DSL,3187.65
telco_244,244,Month-to-month,94.4,65,0,Fiber optic,6126.15
telco_245,245,Month-to-month,54.8,13,0,DSL,731.3
telco_246,246,Month-to-month,75.35,4,0,Fiber optic,273.4
telco_247,247,One year,65.0,41,0,DSL,2531.8
telco_248,248,Month-to-month,74.4,15,1,Fiber optic,1074.3
telco_249,249,Month-to-month,48.55,1,1,DSL,48.55
telco_250,250,One year,99.0,42,0,Fiber optic,4298.45
telco_251,251,One year,93.5,51,0,Fiber optic,4619.55
telco_252,252,Month-to-month,70.4,2,1,Fiber optic,147.15
telco_253,253,Month-to-month,40.2,1,1,DSL,40.2
telco_254,254,One year,83.7,32,0,DSL,2633.3
telco_255,255,Month-to-month,19.85,10,0,No,193.05
telco_256,256,Two year,59.55,67,0,DSL,4103.9
telco_257,257,Two year,115.1,61,0,Fiber optic,7008.15
telco_258,258,One year,114.35,50,0,Fiber optic,5791.1
telco_259,259,Month-to-month,44.6,2,1,DSL,80.55
telco_260,260,Month-to-month,45.0,29,0,DSL,1228.65
telco_261,261,Month-to-month,41.15,3,1,DSL,132.2
telco_262,262,Month-to-month,106.9,13,1,Fiber optic,1364.3
telco_263,263,Month-to-month,89.85,57,0,Fiber optic,4925.35
telco_264,264,Two year,49.85,31,0,DSL,1520.1
telco_265,265,One year,113.3,45,0,Fiber optic,5032.25
telco_266,266,Two year,88.1,61,0,DSL,5526.75
telco_267,267,Two year,24.9,50,0,No,1195.25
telco_268,268,Month-to-month,105.0,19,0,Fiber optic,2007.25
telco_269,269,Two year,19.35,59,1,No,1099.6
telco_270,270,Two year,24.25,71,0,No,1732.95
telco_271,271,Month-to-month,94.45,16,1,Fiber optic,1511.2
telco_272,272,Two year,59.75,57,0,DSL,3450.15
telco_273,273,Month-to-month,24.8,1,1,DSL,24.8
telco_274,274,Month-to-month,107.05,20,0,Fiber optic,2172.05
telco_275,275,Month-to-month,70.6,1,1,Fiber optic,70.6
telco_276,276,Month-to-month,85.4,5,1,Fiber optic,401.1
telco_277,277,Month-to-month,105.05,52,1,Fiber optic,5624.85
telco_278,278,Month-to-month,64.95,21,0,DSL,1339.8
telco_279,279,Month-to-month,55.0,14,0,DSL,771.95
telco_280,280,Month-to-month,50.55,5,0,DSL,244.75
telco_281,281,Month-to-month,55.15,6,0,DSL,322.9
telco_282,282,Month-to-month,51.2,10,0,DSL,498.25
telco_283,283,Month-to-month,25.4,1,0,No,25.4
telco_284,284,Month-to-month,54.45,68,0,DSL,3687.75
telco_285,285,Month-to-month,95.15,18,1,Fiber optic,1779.95
telco_286,286,One year,76.0,22,0,Fiber optic,1783.6
telco_287,287,Month-to-month,44.35,20,0,DSL,927.15
telco_288,288,Month-to-month,70.0,1,1,Fiber optic,70.0
telco_289,289,Month-to-month,74.5,8,1,Fiber optic,606.55
telco_290,290,Month-to-month,44.85,10,1,DSL,435.4
telco_291,291,Month-to-month,76.1,24,1,Fiber optic,1712.7
telco_292,292,One year,61.2,35,0,DSL,2021.2
telco_293,293,One year,86.8,23,0,Fiber optic,1940.8
telco_294,294,Month-to-month,89.35,6,0,Fiber optic,567.8
telco_295,295,Month-to-month,19.7,12,0,No,220.35
telco_296,296,Month-to-month,20.25,1,0,No,20.25
telco_297,297,Two year,76.05,71,0,Fiber optic,5436.45
telco_298,298,Month-to-month,100.8,35,0,Fiber optic,3437.5
telco_299,299,Month-to-month,74.55,40,0,DSL,3015.75
telco_300,300,Month-to-month,73.6,1,1,Fiber optic,73.6
telco_301,301,One year,64.9,23,0,DSL,1509.8
telco_302,302,Month-to-month,95.45,4,1,Fiber optic,396.1
telco_303,303,Month-to-month,90.4,4,0,Fiber optic,356.65
telco_304,304,Two year,60.3,68,0,DSL,4109.0
telco_305,305,Month-to-month,81.85,38,0,Fiber optic,3141.7
telco_306,306,Two year,24.8,52,0,No,1229.1
telco_307,307,Month-to-month,74.9,32,1,Fiber optic,2303.35
telco_308,308,Two year,75.55,29,0,DSL,2054.4
telco_309,309,Month-to-month,101.15,38,0,Fiber optic,3741.85
telco_310,310,One year,78.75,48,0,DSL,3682.45
telco_311,311,Month-to-month,19.25,1,0,No,19.25
telco_312,312,Month-to-month,89.05,22,0,Fiber optic,1886.25
telco_313,313,Two year,115.05,43,0,Fiber optic,4895.1
telco_314,314,Month-to-month,69.35,5,0,Fiber optic,341.6
telco_315,315,Month-to-month,80.6,5,1,Fiber optic,415.55
telco_316,316,One year,110.05,51,0,Fiber optic,5686.4
telco_317,317,Two year,19.9,71,0,No,1355.1
telco_318,318,One year,80.3,38,1,DSL,3058.65
telco_319,319,Month-to-month,93.15,24,1,Fiber optic,2231.05
telco_320,320,Month-to-month,91.5,35,0,Fiber optic,3236.35
telco_321,321,One year,82.45,54,1,DSL,4350.1
telco_322,322,Two year,60.0,72,0,DSL,4264.0
telco_323,323,Month-to-month,44.8,1,0,DSL,44.8
telco_324,324,One year,48.6,9,0,DSL,422.3
telco_325,325,Two year,60.05,69,0,DSL,4176.7
telco_326,326,Month-to-month,102.7,52,0,Fiber optic,5138.1
telco_327,327,Month-to-month,82.9,11,0,Fiber optic,880.05
telco_328,328,Month-to-month,70.35,2,1,Fiber optic,139.05
telco_329,329,Month-to-month,35.9,28,0,DSL,973.65
telco_330,330,Month-to-month,82.65,17,0,Fiber optic,1470.05
telco_331,331,Two year,19.85,35,0,No,739.35
telco_332,332,One year,19.2,8,0,No,161.95
telco_333,333,One year,94.9,46,0,Fiber optic,4422.95
telco_334,334,Month-to-month,73.85,7,1,Fiber optic,511.25
telco_335,335,Month-to-month,80.6,2,1,Fiber optic,155.8
telco_336,336,One year,75.8,68,1,DSL,5293.95
telco_337,337,Two year,104.6,43,1,Fiber optic,4759.85
telco_338,338,Two year,88.15,68,0,DSL,6148.45
telco_339,339,Month-to-month,94.8,36,0,Fiber optic,3565.65
telco_340,340,Month-to-month,103.4,63,1,Fiber optic,6603.0
telco_341,341,Month-to-month,54.65,32,0,DSL,1830.1
telco_342,342,Two year,85.75,71,0,DSL,6223.8
telco_343,343,Month-to-month,67.45,66,0,DSL,4508.65
telco_344,344,One year,20.5,63,0,No,1328.15
telco_345,345,One year,20.25,41,0,No,865.0
telco_346,346,Month-to-month,72.1,1,0,Fiber optic,72.1
telco_347,347,Month-to-month,90.4,2,1,Fiber optic,168.2
telco_348,348,Two year,19.45,70,0,No,1303.5
telco_349,349,Month-to-month,44.95,23,0,DSL,996.85
telco_350,350,One year,97.0,64,0,Fiber optic,6430.9
telco_351,351,Two year,62.8,37,0,DSL,2278.75
telco_352,352,One year,44.6,17,0,DSL,681.4
telco_353,353,Month-to-month,89.15,7,0,Fiber optic,574.35
telco_354,354,Month-to-month,84.8,4,1,Fiber optic,371.9
telco_355,355,Month-to-month,41.9,21,1,DSL,840.1
telco_356,356,Month-to-month,80.25,10,1,Fiber optic,846.0
telco_357,357,Month-to-month,54.1,16,0,DSL,889.0
telco_358,358,Two year,105.25,64,0,Fiber optic,6823.4
telco_359,359,Month-to-month,30.75,27,1,DSL,805.1
telco_360,360,One year,97.1,42,0,Fiber optic,4016.75
telco_361,361,Month-to-month,20.2,5,0,No,83.75
telco_362,362,Two year,98.8,41,0,Fiber optic,3959.15
telco_363,363,One year,50.3,58,0,DSL,2878.55
telco_364,364,Two year,20.55,47,0,No,945.7
telco_365,365,Month-to-month,75.9,18,0,Fiber optic,1373.05
telco_366,366,Month-to-month,96.5,5,1,Fiber optic,492.55
telco_367,367,Month-to-month,59.95,23,0,DSL,1406.0
telco_368,368,Month-to-month,19.15,1,0,No,19.15
telco_369,369,One year,98.65,71,0,Fiber optic,6962.85
telco_370,370,Two year,112.6,72,0,Fiber optic,8126.65
telco_371,371,One year,20.6,33,0,No,690.25
telco_372,372,Month-to-month,85.65,2,1,Fiber optic,181.5
telco_373,373,Two year,35.75,24,0,DSL,830.8
telco_374,374,One year,99.75,56,0,Fiber optic,5608.4
telco_375,375,Month-to-month,96.1,37,0,Fiber optic,3646.8
telco_376,376,One year,85.1,43,0,DSL,3662.25
telco_377,377,Month-to-month,25.35,1,0,DSL,25.35
telco_378,378,Month-to-month,104.95,25,1,Fiber optic,2566.5
telco_379,379,Two year,89.65,61,0,DSL,5308.7
telco_380,380,One year,86.75,17,0,Fiber optic,1410.25
telco_381,381,One year,86.2,41,0,Fiber optic,3339.05
telco_382,382,Month-to-month,50.65,1,1,DSL,50.65
telco_383,383,Two year,64.8,72,0,DSL,4732.35
telco_384,384,Month-to-month,90.85,1,1,Fiber optic,90.85
telco_385,385,Two year,108.1,48,0,Fiber optic,5067.45
telco_386,386,Month-to-month,19.95,11,1,No,214.75
telco_387,387,Month-to-month,85.45,55,1,Fiber optic,4874.7
telco_388,388,One year,54.75,42,0,DSL,2348.45
telco_389,389,Month-to-month,90.4,44,0,Fiber optic,4063.0
telco_390,390,Month-to-month,44.0,1,0,DSL,44.0
telco_391,391,Month-to-month,95.6,27,0,Fiber optic,2595.25
telco_392,392,Month-to-month,84.8,27,0,DSL,2309.55
telco_393,393,Month-to-month,44.3,2,0,DSL,89.3
telco_394,394,Month-to-month,19.9,19,0,No,367.55
telco_395,395,Month-to-month,95.05,42,0,Fiber optic,3944.5
telco_396,396,Two year,90.05,66,0,DSL,5965.95
telco_397,397,Month-to-month,109.9,33,0,Fiber optic,3694.7
telco_398,398,Month-to-month,73.95,34,1,Fiber optic,2524.45
telco_399,399,Month-to-month,54.6,33,0,DSL,1803.7
telco_400,400,One year,20.05,23,0,No,415.1
telco_401,401,One year,19.75,32,0,No,624.15
telco_402,402,One year,20.05,11,0,No,237.7
telco_403,403,Month-to-month,99.45,69,1,Fiber optic,7007.6
telco_404,404,One year,55.9,68,0,DSL,3848.8
telco_405,405,Two year,19.7,20,0,No,419.4
telco_406,406,Two year,19.8,72,0,No,1468.75
telco_407,407,One year,95.4,60,0,Fiber optic,5812.0
telco_408,408,Month-to-month,93.95,32,0,Fiber optic,2861.45
telco_409,409,Month-to-month,19.9,1,1,No,19.9
telco_410,410,Month-to-month,19.6,1,1,No,19.6
telco_411,411,Month-to-month,81.35,3,1,Fiber optic,233.7
telco_412,412,One year,24.45,46,0,No,1066.15
telco_413,413,Month-to-month,74.95,29,0,Fiber optic,2149.05
telco_414,414,Month-to-month,87.35,51,0,Fiber optic,4473.0
telco_415,415,Month-to-month,70.65,48,0,Fiber optic,3545.05
telco_416,416,Month-to-month,73.25,16,0,Fiber optic,1195.75
telco_417,417,Two year,98.7,70,0,Fiber optic,6858.9
telco_418,418,Two year,24.8,40,0,No,1024.7
telco_419,419,Month-to-month,83.3,22,1,Fiber optic,1845.9
telco_420,420,Month-to-month,75.3,1,1,Fiber optic,75.3
telco_421,421,Month-to-month,24.3,5,0,No,132.25
telco_422,422,Month-to-month,69.85,7,0,Fiber optic,515.45
telco_423,423,One year,100.55,29,0,Fiber optic,2830.45
telco_424,424,One year,25.7,44,0,No,1110.5
telco_425,425,Month-to-month,40.7,10,0,DSL,449.3
telco_426,426,Month-to-month,51.65,55,0,DSL,2838.55
telco_427,427,One year,105.1,52,0,Fiber optic,5376.4
telco_428,428,Month-to-month,85.95,10,0,Fiber optic,858.6
telco_429,429,Month-to-month,75.6,18,0,Fiber optic,1395.05
telco_430,430,One year,58.25,68,0,DSL,3975.7
telco_431,431,Month-to-month,19.4,61,1,No,1182.55
telco_432,432,Two year,65.2,72,0,DSL,4784.45
telco_433,433,Month-to-month,53.45,2,0,DSL,119.5
telco_434,434,Month-to-month,45.4,12,1,DSL,518.9
telco_435,435,Two year,19.75,41,0,No,899.45
telco_436,436,Month-to-month,44.45,26,0,DSL,1183.8
telco_437,437,One year,20.85,36,0,No,720.05
telco_438,438,Two year,114.05,72,0,Fiber optic,8468.2
telco_439,439,Month-to-month,89.85,35,0,Fiber optic,3161.2
telco_440,440,Month-to-month,55.05,1,0,DSL,55.05
telco_441,441,Month-to-month,112.95,16,0,Fiber optic,1882.55
telco_442,442,Month-to-month,101.55,49,0,Fiber optic,5070.4
telco_443,443,One year,114.65,54,0,Fiber optic,6049.5
telco_444,444,Month-to-month,64.8,18,0,DSL,1166.7
telco_445,445,Month-to-month,80.4,36,0,Fiber optic,2937.65
telco_446,446,Month-to-month,105.9,60,1,Fiber optic,6396.45
telco_447,447,Month-to-month,69.55,1,1,Fiber optic,69.55
telco_448,448,Two year,25.05,52,0,No,1270.25
telco_449,449,Month-to-month,94.75,8,0,Fiber optic,759.55
telco_450,450,Two year,105.5,72,0,Fiber optic,7611.55
telco_451,451,One year,24.7,64,0,No,1642.75
telco_452,452,Month-to-month,69.75,22,0,DSL,1545.4
telco_453,453,Month-to-month,60.2,60,0,DSL,3582.4
telco_454,454,Month-to-month,81.05,28,1,Fiber optic,2227.1
telco_455,455,Two year,24.4,61,0,No,1417.9
telco_456,456,Month-to-month,104.15,24,0,Fiber optic,2494.65
telco_457,457,One year,92.9,28,0,Fiber optic,2768.35
telco_458,458,Two year,80.8,30,0,DSL,2369.3
telco_459,459,Month-to-month,20.0,2,0,No,38.0
telco_460,460,Month-to-month,75.1,1,0,Fiber optic,75.1
telco_461,461,Month-to-month,19.65,6,0,No,100.9
telco_462,462,Month-to-month,69.45,24,0,DSL,1614.05
