user_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,monthly_charges,total_charges,churn,contract,payment_method
35,Male,1,No,No,1,Yes,DSL,45.25,45.25,0,Month-to-month,Bank transfer (automatic)
36,Female,0,Yes,Yes,72,Yes,Fiber optic,99.9,7251.7,0,Two year,Bank transfer (automatic)
37,Male,0,No,No,5,Yes,Fiber optic,69.7,316.9,1,Month-to-month,Electronic check
38,Female,0,No,No,46,Yes,Fiber optic,74.8,3548.3,0,Month-to-month,Credit card (automatic)
39,Male,0,No,No,34,Yes,Fiber optic,106.35,3549.25,1,Month-to-month,Electronic check
40,Female,0,No,No,11,Yes,Fiber optic,97.85,1105.4,1,Month-to-month,Bank transfer (automatic)
41,Male,0,Yes,Yes,10,Yes,DSL,49.55,475.7,0,One year,Mailed check
42,Female,0,Yes,Yes,70,Yes,DSL,69.2,4872.35,0,Two year,Credit card (automatic)
43,Female,0,Yes,Yes,17,Yes,No,20.75,418.25,0,One year,Mailed check
44,Female,0,No,No,63,Yes,DSL,79.85,4861.45,0,Two year,Credit card (automatic)
45,Female,0,Yes,No,13,Yes,DSL,76.2,981.45,0,Month-to-month,Electronic check
46,Female,0,No,No,49,Yes,Fiber optic,84.5,3906.7,0,Month-to-month,Electronic check
47,Male,0,No,No,2,Yes,DSL,49.25,97.0,0,Month-to-month,Mailed check
48,Female,0,No,No,2,Yes,Fiber optic,80.65,144.15,1,Month-to-month,Electronic check
49,Male,0,No,No,52,Yes,DSL,79.75,4217.8,0,Two year,Credit card (automatic)
50,Female,0,Yes,Yes,69,Yes,DSL,64.15,4254.1,0,Two year,Credit card (automatic)
51,Female,1,No,No,43,Yes,Fiber optic,90.25,3838.75,0,Month-to-month,Electronic check
52,Female,0,No,No,15,Yes,Fiber optic,99.1,1426.4,1,Month-to-month,Credit card (automatic)
53,Female,1,Yes,No,25,Yes,DSL,69.5,1752.65,0,Month-to-month,Credit card (automatic)
54,Female,1,Yes,No,8,Yes,Fiber optic,80.65,633.3,1,Month-to-month,Credit card (automatic)
55,Female,1,Yes,Yes,60,Yes,DSL,74.85,4456.35,0,One year,Credit card (automatic)
56,Male,1,No,No,18,Yes,Fiber optic,95.45,1752.55,1,Month-to-month,Electronic check
57,Female,0,Yes,Yes,63,Yes,Fiber optic,99.65,6311.2,0,One year,Credit card (automatic)
58,Male,1,Yes,Yes,66,Yes,Fiber optic,108.45,7076.35,0,One year,Electronic check
59,Female,0,Yes,Yes,34,Yes,No,24.95,894.3,0,Two year,Credit card (automatic)
60,Female,0,No,No,72,Yes,Fiber optic,107.5,7853.7,0,Two year,Credit card (automatic)
61,Female,0,Yes,No,47,Yes,Fiber optic,100.5,4707.1,0,Month-to-month,Electronic check
62,Male,0,No,No,60,Yes,Fiber optic,89.9,5450.7,0,Month-to-month,Bank transfer (automatic)
63,Male,0,Yes,No,72,No,DSL,42.1,2962.0,0,Two year,Bank transfer (automatic)
64,Female,0,Yes,Yes,18,Yes,DSL,54.4,957.1,0,One year,Credit card (automatic)
65,Female,0,No,No,9,Yes,Fiber optic,94.4,857.25,1,Month-to-month,Electronic check
66,Female,0,No,No,3,Yes,DSL,75.3,244.1,0,Month-to-month,Electronic check
67,Male,0,Yes,No,47,Yes,Fiber optic,78.9,3650.35,0,One year,Electronic check
68,Female,0,No,No,31,Yes,DSL,79.2,2497.2,0,Two year,Mailed check
69,Female,0,Yes,Yes,50,Yes,No,20.15,930.9,0,Two year,Bank transfer (automatic)
70,Male,0,No,No,10,Yes,Fiber optic,79.85,887.35,0,Month-to-month,Mailed check
71,Male,0,No,No,1,Yes,DSL,49.05,49.05,0,Month-to-month,Mailed check
72,Female,0,Yes,Yes,52,Yes,No,20.4,1090.65,0,One year,Electronic check
73,Male,1,Yes,Yes,64,Yes,Fiber optic,111.6,7099.0,0,Two year,Bank transfer (automatic)
74,Male,0,Yes,Yes,62,Yes,No,24.25,1424.6,0,Two year,Bank transfer (automatic)
75,Female,0,No,Yes,3,Yes,DSL,64.5,177.4,0,Month-to-month,Bank transfer (automatic)
76,Female,1,No,No,56,Yes,Fiber optic,110.5,6139.5,0,One year,Electronic check
77,Female,0,No,No,46,Yes,DSL,55.65,2688.85,0,One year,Credit card (automatic)
78,Female,0,Yes,Yes,8,Yes,DSL,54.65,482.25,0,Month-to-month,Mailed check
79,Male,1,No,No,30,Yes,DSL,74.75,2111.3,0,Month-to-month,Electronic check
80,Female,0,Yes,Yes,45,Yes,No,25.9,1216.6,0,One year,Credit card (automatic)
81,Female,0,No,Yes,1,Yes,Fiber optic,79.35,79.35,1,Month-to-month,Electronic check
82,Female,0,Yes,Yes,11,No,DSL,50.55,565.35,0,Month-to-month,Electronic check
83,Female,0,Yes,No,7,Yes,Fiber optic,75.15,496.9,1,Month-to-month,Bank transfer (automatic)
84,Female,0,No,No,42,Yes,Fiber optic,103.8,4327.5,0,Month-to-month,Bank transfer (automatic)
85,Female,0,Yes,No,49,Yes,No,20.15,973.35,0,Two year,Bank transfer (automatic)
86,Male,0,No,No,9,Yes,Fiber optic,99.3,918.75,0,Month-to-month,Credit card (automatic)
87,Female,0,Yes,No,35,Yes,DSL,62.15,2215.45,0,One year,Bank transfer (automatic)
88,Female,0,Yes,Yes,48,Yes,No,20.65,1057.0,0,Two year,Bank transfer (automatic)
89,Female,0,Yes,Yes,46,Yes,No,19.95,927.1,0,Two year,Mailed check
90,Male,0,Yes,No,29,No,DSL,33.75,1009.25,0,Month-to-month,Mailed check
91,Male,0,Yes,Yes,30,Yes,Fiber optic,82.05,2570.2,0,Month-to-month,Bank transfer (automatic)
92,Male,1,No,No,1,Yes,Fiber optic,74.7,74.7,0,Month-to-month,Electronic check
93,Male,0,Yes,Yes,66,Yes,DSL,84.0,5714.25,0,Two year,Mailed check
94,Female,0,No,No,65,Yes,Fiber optic,111.05,7107.0,0,Month-to-month,Credit card (automatic)
95,Male,0,No,No,72,Yes,Fiber optic,100.9,7459.05,0,Two year,Bank transfer (automatic)
96,Female,0,No,No,12,Yes,Fiber optic,78.95,927.35,1,Month-to-month,Electronic check
97,Male,0,Yes,Yes,71,Yes,DSL,66.85,4748.7,0,One year,Credit card (automatic)
98,Male,0,No,No,5,Yes,No,21.05,113.85,1,Month-to-month,Mailed check
99,Male,0,No,No,52,Yes,No,21.0,1107.2,0,Two year,Bank transfer (automatic)
100,Female,1,Yes,No,25,Yes,Fiber optic,98.5,2514.5,1,Month-to-month,Electronic check
101,Male,0,No,No,1,Yes,No,20.2,20.2,0,Month-to-month,Mailed check
102,Female,0,Yes,Yes,1,Yes,No,19.45,19.45,0,Month-to-month,Electronic check
103,Male,0,No,No,38,Yes,Fiber optic,95.0,3605.6,0,One year,Bank transfer (automatic)
104,Female,1,Yes,No,66,No,DSL,45.55,3027.25,0,One year,Bank transfer (automatic)
105,Male,0,Yes,No,68,Yes,Fiber optic,110.0,7611.85,1,Two year,Bank transfer (automatic)
106,Male,0,No,No,5,No,DSL,24.3,100.2,0,Month-to-month,Mailed check
107,Female,0,Yes,Yes,72,Yes,Fiber optic,104.15,7303.05,0,One year,Electronic check
108,Female,0,No,No,32,No,DSL,30.15,927.65,0,One year,Mailed check
109,Male,0,No,No,43,Yes,Fiber optic,94.35,3921.3,0,One year,Mailed check
110,Male,0,Yes,Yes,72,Yes,No,19.4,1363.25,0,Two year,Credit card (automatic)
111,Male,0,Yes,No,55,Yes,Fiber optic,96.75,5238.9,1,Month-to-month,Electronic check
112,Female,0,No,No,52,Yes,DSL,57.95,3042.25,0,One year,Credit card (automatic)
113,Female,0,No,No,43,Yes,Fiber optic,91.65,3954.1,0,Month-to-month,Electronic check
114,Female,1,Yes,No,37,Yes,Fiber optic,76.5,2868.15,1,Month-to-month,Electronic check
115,Female,0,Yes,Yes,64,No,DSL,54.6,3423.5,0,Two year,Electronic check
116,Male,0,Yes,Yes,3,Yes,Fiber optic,89.85,248.4,0,Month-to-month,Electronic check
117,Female,0,No,No,36,No,DSL,31.05,1126.35,0,Two year,Bank transfer (automatic)
118,Female,0,Yes,Yes,10,Yes,Fiber optic,100.25,1064.65,1,Month-to-month,Electronic check
119,Female,0,No,No,41,Yes,No,20.65,835.15,0,Two year,Mailed check
120,Male,0,Yes,Yes,27,Yes,Fiber optic,85.2,2151.6,0,Month-to-month,Credit card (automatic)
121,Female,0,Yes,Yes,56,Yes,Fiber optic,99.8,5515.45,0,One year,Credit card (automatic)
122,Female,0,No,No,6,Yes,No,20.7,112.75,0,Month-to-month,Mailed check
123,Male,0,No,No,3,Yes,Fiber optic,74.4,229.55,1,Month-to-month,Electronic check
124,Female,0,Yes,Yes,7,Yes,DSL,50.7,350.35,0,Month-to-month,Mailed check
125,Female,0,Yes,Yes,4,Yes,No,20.85,62.9,0,Month-to-month,Mailed check
126,Male,0,No,No,33,Yes,Fiber optic,88.95,3027.65,0,Two year,Electronic check
127,Female,1,No,No,27,Yes,Fiber optic,78.05,2135.5,1,Month-to-month,Electronic check
128,Male,0,Yes,No,72,Yes,No,23.55,1723.95,0,Two year,Bank transfer (automatic)
129,Male,0,No,No,1,Yes,No,19.75,19.75,0,Month-to-month,Mailed check
130,Male,1,No,No,71,No,DSL,56.45,3985.35,0,One year,Electronic check
131,Female,0,No,No,13,Yes,Fiber optic,85.95,1215.65,0,Month-to-month,Electronic check
132,Female,0,Yes,Yes,25,No,DSL,58.6,1502.65,1,Month-to-month,Credit card (automatic)
133,Male,0,No,No,67,Yes,DSL,50.55,3260.1,0,Two year,Bank transfer (automatic)
134,Male,0,No,No,1,No,DSL,35.45,35.45,1,Month-to-month,Electronic check
135,Male,0,No,No,2,Yes,DSL,44.35,81.25,1,Month-to-month,Electronic check
136,Female,0,No,No,43,Yes,No,25.7,1188.2,0,Two year,Credit card (automatic)
137,Female,0,No,No,23,Yes,Fiber optic,75.0,1778.5,0,Month-to-month,Bank transfer (automatic)
138,Female,0,Yes,Yes,64,Yes,No,20.2,1277.75,0,Two year,Mailed check
139,Male,0,No,Yes,57,Yes,No,19.6,1170.55,0,Two year,Mailed check
140,Female,1,Yes,No,1,Yes,Fiber optic,70.45,70.45,1,Month-to-month,Mailed check
141,Female,1,Yes,Yes,72,Yes,DSL,88.05,6425.65,0,Two year,Credit card (automatic)
142,Female,0,No,No,8,Yes,DSL,71.15,563.65,1,Month-to-month,Electronic check
143,Female,0,Yes,No,61,Yes,Fiber optic,101.05,5971.25,0,Two year,Bank transfer (automatic)
144,Male,0,No,No,64,Yes,Fiber optic,84.3,5289.05,0,One year,Credit card (automatic)
145,Male,1,Yes,No,71,Yes,No,23.95,1756.2,0,Two year,Bank transfer (automatic)
146,Female,0,Yes,Yes,65,Yes,Fiber optic,99.05,6416.7,0,Two year,Credit card (automatic)
147,Male,0,No,No,3,Yes,No,19.6,61.35,0,One year,Mailed check
148,Male,0,No,No,1,Yes,DSL,45.65,45.65,1,Month-to-month,Electronic check
149,Male,0,No,Yes,30,Yes,DSL,64.5,1929.95,0,One year,Credit card (automatic)
150,Male,0,Yes,Yes,15,Yes,DSL,69.5,1071.4,0,Month-to-month,Mailed check
151,Female,0,Yes,Yes,8,Yes,DSL,68.55,564.35,0,Month-to-month,Electronic check
152,Male,0,No,No,7,Yes,Fiber optic,95.0,655.5,1,Month-to-month,Mailed check
153,Female,0,Yes,Yes,70,Yes,Fiber optic,108.15,7930.55,0,One year,Credit card (automatic)
154,Male,0,Yes,Yes,62,Yes,DSL,86.1,5215.25,0,Two year,Electronic check
155,Female,0,Yes,Yes,6,Yes,No,19.7,113.5,0,Month-to-month,Mailed check
156,Female,0,Yes,Yes,14,Yes,Fiber optic,80.9,1152.8,0,Month-to-month,Bank transfer (automatic)
157,Female,0,No,No,22,Yes,Fiber optic,84.15,1821.95,0,Month-to-month,Bank transfer (automatic)
158,Male,0,Yes,Yes,22,Yes,No,20.15,419.9,0,One year,Mailed check
159,Male,0,Yes,Yes,16,Yes,DSL,64.25,1024.0,0,Two year,Mailed check
160,Male,0,No,No,10,Yes,No,25.7,251.6,0,Two year,Bank transfer (automatic)
161,Female,0,No,Yes,13,Yes,DSL,56.0,764.55,0,Month-to-month,Electronic check
162,Female,0,Yes,No,20,Yes,Fiber optic,82.4,1592.35,1,Month-to-month,Electronic check
163,Female,0,No,No,2,Yes,Fiber optic,69.7,135.2,0,Month-to-month,Electronic check
164,Male,0,No,No,53,Yes,DSL,73.9,3958.25,0,Two year,Bank transfer (automatic)
165,Female,0,Yes,Yes,11,Yes,No,20.6,233.9,0,One year,Mailed check
166,Male,0,Yes,No,69,Yes,No,19.9,1363.45,0,Two year,Mailed check
167,Female,0,No,No,4,Yes,Fiber optic,70.9,273.0,1,Month-to-month,Bank transfer (automatic)
168,Male,0,Yes,No,72,Yes,DSL,89.05,6254.45,0,Two year,Bank transfer (automatic)
169,Male,1,Yes,No,58,No,DSL,45.3,2651.2,1,Month-to-month,Electronic check
170,Female,0,Yes,Yes,16,Yes,No,20.4,321.4,0,Month-to-month,Electronic check
171,Male,0,Yes,No,43,Yes,Fiber optic,84.25,3539.25,0,One year,Bank transfer (automatic)
172,Female,0,Yes,No,2,Yes,Fiber optic,104.4,242.8,1,Month-to-month,Electronic check
173,Male,0,Yes,No,14,Yes,DSL,81.95,1181.75,0,Two year,Mailed check
174,Female,0,Yes,No,53,Yes,Fiber optic,94.85,5000.2,1,One year,Bank transfer (automatic)
175,Female,0,No,No,32,Yes,No,20.55,654.55,0,One year,Bank transfer (automatic)
176,Female,0,Yes,No,34,Yes,No,24.7,780.2,0,Month-to-month,Electronic check
177,Female,1,No,No,15,Yes,Fiber optic,74.45,1145.7,1,Month-to-month,Mailed check
178,Female,1,No,No,7,Yes,Fiber optic,76.45,503.6,1,Month-to-month,Bank transfer (automatic)
179,Female,0,Yes,Yes,15,Yes,Fiber optic,105.35,1559.25,0,Month-to-month,Bank transfer (automatic)
180,Male,0,Yes,No,61,Yes,No,20.55,1252.0,0,One year,Credit card (automatic)
181,Female,0,No,No,1,No,DSL,29.95,29.95,1,Month-to-month,Bank transfer (automatic)
182,Female,0,No,No,1,Yes,DSL,45.3,45.3,0,Month-to-month,Mailed check
183,Male,0,No,No,8,Yes,Fiber optic,84.5,662.65,1,Month-to-month,Bank transfer (automatic)
184,Male,0,Yes,Yes,33,Yes,DSL,74.75,2453.3,0,One year,Credit card (automatic)
185,Female,0,No,No,13,Yes,Fiber optic,79.25,1111.65,1,Month-to-month,Electronic check
186,Female,0,Yes,No,1,No,DSL,24.8,24.8,1,Month-to-month,Electronic check
187,Male,0,No,No,20,Yes,DSL,51.8,1023.85,0,Month-to-month,Mailed check
188,Male,0,No,No,3,No,DSL,30.4,82.15,0,Month-to-month,Electronic check
189,Female,0,No,No,13,Yes,No,19.65,244.8,0,One year,Electronic check
190,Female,0,Yes,No,40,Yes,DSL,56.6,2379.1,0,Month-to-month,Credit card (automatic)
191,Male,0,Yes,Yes,43,Yes,DSL,71.9,3173.35,0,One year,Credit card (automatic)
192,Male,0,Yes,No,6,Yes,Fiber optic,91.0,531.0,1,Month-to-month,Electronic check
193,Female,0,Yes,Yes,69,Yes,No,19.75,1375.4,0,Two year,Bank transfer (automatic)
194,Female,0,Yes,Yes,72,Yes,Fiber optic,109.7,8129.3,0,Two year,Credit card (automatic)
195,Male,0,Yes,Yes,59,Yes,No,19.3,1192.7,0,Two year,Credit card (automatic)
196,Female,0,Yes,No,20,Yes,Fiber optic,96.55,1901.65,0,Month-to-month,Electronic check
197,Male,0,Yes,Yes,24,Yes,No,24.1,587.4,0,Two year,Bank transfer (automatic)
198,Male,0,No,No,59,Yes,Fiber optic,111.35,6519.75,0,Month-to-month,Electronic check
199,Male,0,Yes,Yes,72,Yes,Fiber optic,112.25,8041.65,0,Two year,Bank transfer (automatic)
200,Male,0,No,Yes,1,Yes,No,20.75,20.75,0,Month-to-month,Mailed check
201,Female,0,Yes,No,27,Yes,Fiber optic,101.9,2681.15,0,One year,Credit card (automatic)
202,Female,0,No,No,14,Yes,Fiber optic,80.05,1112.3,0,Month-to-month,Credit card (automatic)
203,Male,0,Yes,Yes,71,Yes,Fiber optic,105.55,7405.5,0,Two year,Electronic check
204,Male,0,No,Yes,13,Yes,Fiber optic,78.3,1033.95,0,Month-to-month,Credit card (automatic)
205,Male,0,No,No,44,Yes,Fiber optic,68.85,2958.95,0,Month-to-month,Credit card (automatic)
206,Female,0,No,No,33,Yes,Fiber optic,79.95,2684.85,0,One year,Bank transfer (automatic)
207,Male,0,Yes,Yes,72,No,DSL,55.45,4179.2,0,Two year,Credit card (automatic)
208,Male,0,No,No,1,Yes,Fiber optic,79.9,79.9,1,Month-to-month,Electronic check
209,Female,0,No,No,19,Yes,Fiber optic,106.6,1934.45,1,Month-to-month,Electronic check
210,Male,0,Yes,No,64,Yes,Fiber optic,102.45,6654.1,0,One year,Credit card (automatic)
211,Male,0,No,No,2,Yes,DSL,46.0,84.5,1,Month-to-month,Credit card (automatic)
212,Female,0,No,No,1,No,DSL,25.25,25.25,0,Month-to-month,Electronic check
213,Male,0,No,Yes,61,Yes,No,19.75,1124.2,0,Two year,Mailed check
214,Female,0,Yes,Yes,29,Yes,No,20.0,540.05,0,One year,Electronic check
215,Male,1,Yes,No,23,Yes,Fiber optic,86.8,1975.85,0,Month-to-month,Electronic check
216,Female,0,Yes,No,57,No,DSL,58.75,3437.45,0,Month-to-month,Bank transfer (automatic)
217,Male,0,Yes,Yes,72,No,DSL,45.25,3139.8,0,Two year,Credit card (automatic)
218,Male,0,Yes,No,66,No,DSL,56.6,3789.2,0,Two year,Bank transfer (automatic)
219,Male,0,Yes,Yes,65,Yes,DSL,84.2,5324.5,0,Two year,Bank transfer (automatic)
220,Female,0,No,No,8,Yes,Fiber optic,80.0,624.6,0,Month-to-month,Bank transfer (automatic)
221,Female,0,No,No,4,Yes,Fiber optic,70.15,268.35,1,Month-to-month,Electronic check
222,Female,0,Yes,No,71,Yes,No,24.75,1836.9,0,Two year,Bank transfer (automatic)
223,Male,0,Yes,Yes,1,Yes,No,20.2,20.2,0,One year,Electronic check
224,Male,0,Yes,No,4,Yes,DSL,50.05,179.35,1,Month-to-month,Mailed check
225,Female,0,No,No,12,Yes,No,19.35,219.35,0,One year,Bank transfer (automatic)
226,Male,0,No,No,24,No,DSL,50.6,1288.75,0,One year,Mailed check
227,Female,0,Yes,Yes,31,Yes,DSL,81.15,2545.75,0,One year,Mailed check
228,Female,0,Yes,No,1,Yes,DSL,55.2,55.2,1,Month-to-month,Mailed check
229,Male,0,No,No,30,Yes,Fiber optic,89.9,2723.15,0,Month-to-month,Credit card (automatic)
230,Female,0,Yes,Yes,47,Yes,DSL,85.3,4107.25,0,Two year,Credit card (automatic)
231,Male,0,No,No,54,Yes,Fiber optic,108.0,5760.65,0,Two year,Credit card (automatic)
232,Male,0,No,No,50,Yes,Fiber optic,93.5,4747.5,0,Month-to-month,Credit card (automatic)
233,Male,0,No,No,1,Yes,Fiber optic,84.6,84.6,1,Month-to-month,Mailed check
234,Female,0,No,No,72,Yes,No,20.25,1566.9,0,Two year,Credit card (automatic)
235,Female,0,No,No,29,Yes,No,25.15,702.0,0,Month-to-month,Electronic check
236,Male,0,No,No,2,Yes,DSL,54.4,114.1,1,Month-to-month,Mailed check
237,Female,0,No,No,10,No,DSL,29.6,299.05,0,Two year,Mailed check
238,Male,0,Yes,No,18,Yes,Fiber optic,73.15,1305.95,0,Month-to-month,Electronic check
239,Female,1,No,No,11,Yes,Fiber optic,95.0,1120.3,1,Month-to-month,Electronic check
240,Male,0,No,No,16,Yes,No,19.75,284.35,0,Two year,Mailed check
241,Female,0,No,No,72,Yes,DSL,86.6,6350.5,0,Two year,Bank transfer (automatic)
242,Male,0,No,No,72,Yes,Fiber optic,109.2,7878.3,0,Two year,Bank transfer (automatic)
243,Female,0,Yes,Yes,41,Yes,DSL,74.7,3187.65,0,One year,Credit card (automatic)
244,Female,1,Yes,No,65,Yes,Fiber optic,94.4,6126.15,0,Month-to-month,Electronic check
245,Female,1,No,No,13,Yes,DSL,54.8,731.3,0,Month-to-month,Electronic check
246,Male,1,No,No,4,Yes,Fiber optic,75.35,273.4,0,Month-to-month,Electronic check
247,Male,0,No,No,41,Yes,DSL,65.0,2531.8,0,One year,Mailed check
248,Male,1,No,No,15,Yes,Fiber optic,74.4,1074.3,1,Month-to-month,Electronic check
249,Male,0,No,No,1,Yes,DSL,48.55,48.55,1,Month-to-month,Mailed check
250,Male,0,No,No,42,Yes,Fiber optic,99.0,4298.45,0,One year,Electronic check
251,Female,0,Yes,No,51,Yes,Fiber optic,93.5,4619.55,0,One year,Electronic check
252,Female,0,Yes,Yes,2,Yes,Fiber optic,70.4,147.15,1,Month-to-month,Electronic check
253,Male,1,Yes,No,1,No,DSL,40.2,40.2,1,Month-to-month,Electronic check
254,Male,0,No,Yes,32,Yes,DSL,83.7,2633.3,0,One year,Credit card (automatic)
255,Male,0,No,No,10,Yes,No,19.85,193.05,0,Month-to-month,Mailed check
256,Female,0,Yes,Yes,67,No,DSL,59.55,4103.9,0,Two year,Electronic check
257,Female,0,Yes,Yes,61,Yes,Fiber optic,115.1,7008.15,0,Two year,Credit card (automatic)
258,Male,0,No,No,50,Yes,Fiber optic,114.35,5791.1,0,One year,Credit card (automatic)
259,Female,0,Yes,No,2,Yes,DSL,44.6,80.55,1,Month-to-month,Credit card (automatic)
260,Female,1,Yes,No,29,No,DSL,45.0,1228.65,0,Month-to-month,Electronic check
261,Male,1,No,No,3,No,DSL,41.15,132.2,1,Month-to-month,Electronic check
262,Male,1,No,No,13,Yes,Fiber optic,106.9,1364.3,1,Month-to-month,Electronic check
263,Male,1,Yes,No,57,Yes,Fiber optic,89.85,4925.35,0,Month-to-month,Electronic check
264,Female,0,No,No,31,No,DSL,49.85,1520.1,0,Two year,Bank transfer (automatic)
265,Female,0,Yes,No,45,Yes,Fiber optic,113.3,5032.25,0,One year,Mailed check
266,Female,0,Yes,Yes,61,Yes,DSL,88.1,5526.75,0,Two year,Mailed check
267,Male,0,No,No,50,Yes,No,24.9,1195.25,0,Two year,Bank transfer (automatic)
268,Female,1,No,No,19,Yes,Fiber optic,105.0,2007.25,0,Month-to-month,Mailed check
269,Male,0,No,No,59,Yes,No,19.35,1099.6,1,Two year,Mailed check
270,Female,0,Yes,No,71,Yes,No,24.25,1732.95,0,Two year,Credit card (automatic)
271,Female,1,No,No,16,Yes,Fiber optic,94.45,1511.2,1,Month-to-month,Electronic check
272,Male,0,Yes,No,57,Yes,DSL,59.75,3450.15,0,Two year,Electronic check
273,Male,0,No,No,1,No,DSL,24.8,24.8,1,Month-to-month,Bank transfer (automatic)
274,Male,1,Yes,No,20,Yes,Fiber optic,107.05,2172.05,0,Month-to-month,Electronic check
275,Male,0,No,No,1,Yes,Fiber optic,70.6,70.6,1,Month-to-month,Mailed check
276,Male,0,Yes,No,5,Yes,Fiber optic,85.4,401.1,1,Month-to-month,Electronic check
277,Female,0,Yes,No,52,Yes,Fiber optic,105.05,5624.85,1,Month-to-month,Electronic check
278,Male,1,Yes,No,21,Yes,DSL,64.95,1339.8,0,Month-to-month,Bank transfer (automatic)
279,Male,0,No,No,14,No,DSL,55.0,771.95,0,Month-to-month,Electronic check
280,Female,0,No,No,5,Yes,DSL,50.55,244.75,0,Month-to-month,Bank transfer (automatic)
281,Female,0,No,No,6,Yes,DSL,55.15,322.9,0,Month-to-month,Mailed check
282,Female,0,No,No,10,Yes,DSL,51.2,498.25,0,Month-to-month,Electronic check
283,Female,0,No,Yes,1,Yes,No,25.4,25.4,0,Month-to-month,Mailed check
284,Female,0,No,No,68,Yes,DSL,54.45,3687.75,0,Month-to-month,Mailed check
285,Male,0,Yes,Yes,18,Yes,Fiber optic,95.15,1779.95,1,Month-to-month,Mailed check
286,Female,0,No,No,22,Yes,Fiber optic,76.0,1783.6,0,One year,Credit card (automatic)
287,Female,0,No,No,20,Yes,DSL,44.35,927.15,0,Month-to-month,Electronic check
288,Male,0,Yes,No,1,Yes,Fiber optic,70.0,70.0,1,Month-to-month,Electronic check
289,Male,1,No,No,8,Yes,Fiber optic,74.5,606.55,1,Month-to-month,Electronic check
290,Male,0,No,No,10,Yes,DSL,44.85,435.4,1,Month-to-month,Credit card (automatic)
291,Male,1,No,No,24,Yes,Fiber optic,76.1,1712.7,1,Month-to-month,Electronic check
292,Male,0,No,No,35,Yes,DSL,61.2,2021.2,0,One year,Mailed check
